id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
28925,Grande maison centre ville Comme à la campagne,124398,Laurence,Bordeaux,Centre ville (Bordeaux),44.85024,-0.59209,Entire home/apt,234,2,2,2017-09-10,0.05,1,144
218103,B&B Apart.Suite  / tropical garden,1127981,Luis,Bgles,Bgles,44.81545,-0.54808,Entire home/apt,110,2,45,2013-07-05,0.40,4,123
222887,"Bordeaux Terrace - spectacular view, fast Wifi",1156398,Suzanna,Bordeaux,Bordeaux Sud,44.83611,-0.5664,Entire home/apt,202,3,43,2019-11-11,0.72,4,197
317273,"Bordeaux City Gardens - large 1 bd, park adjacent",1156398,Suzanna,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.84782,-0.58105,Entire home/apt,145,3,26,2019-12-29,0.47,4,193
317658,"Key to Bordeaux - fairytale view, 2 bd + elevator",1156398,Suzanna,Bordeaux,Centre ville (Bordeaux),44.83882,-0.56887,Entire home/apt,202,3,61,2020-01-20,0.77,4,198
333031,STUDIO BORDEAUX TRIANGLE D OR ***** Climatisé,1697156,Antony,Bordeaux,Centre ville (Bordeaux),44.84256,-0.57794,Entire home/apt,79,1,341,2019-09-23,3.02,2,361
333592,Charming apt with terrace center town,1699300,Alexandre,Bordeaux,Centre ville (Bordeaux),44.84583,-0.58306,Entire home/apt,101,2,40,2019-07-11,0.41,1,0
344869,Cosy studio center of Bordeaux,1749523,Fabienne,Bordeaux,Centre ville (Bordeaux),44.84598,-0.5897,Entire home/apt,50,3,128,2017-07-10,1.15,3,121
365993,Modern&comfortable 3 rooms apart,1847986,Damien,Bgles,Bgles,44.81149,-0.55825,Entire home/apt,116,5,36,2019-07-06,0.32,2,325
408270,B&B Bedroom N°2  / tropical garden,1127981,Luis,Bgles,Bgles,44.81562,-0.54787,Entire home/apt,90,2,95,2014-09-15,0.87,4,125
410267,B&B Apart. N°3 / Tropical Garden,1127981,Luis,Bgles,Bgles,44.81443,-0.54876,Entire home/apt,90,2,65,2012-08-08,0.61,4,158
412475,B&B Apart n°4 / Tropical Garden,1127981,Luis,Bgles,Bgles,44.81349,-0.54827,Entire home/apt,90,2,98,2021-04-03,1.12,4,242
437127,Om Sweet Home B&B  chambre double,2171100,Christophe,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.85643,-0.58467,Private room,46,2,288,2017-08-12,2.62,2,299
438600,Om Sweet Home B&B  chambre Single,2171100,Christophe,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.85447,-0.582,Private room,31,2,222,2020-02-28,2.03,2,299
450324,"House with garden, near Bordeaux",1727412,Anne-Laure,Cenon,Plaisance-Loret-Maregue,44.86238,-0.50698,Entire home/apt,110,2,16,2013-04-15,0.16,1,0
457462,"BORDEAUX, swimming-pool, tennis !",2273643,Nadine,Talence,Talence,44.81099,-0.59954,Entire home/apt,75,2,18,2021-07-02,0.17,1,257
457640,Appartement piscine tennis Bordeaux,2274580,Christine,Talence,Talence,44.80956,-0.5994,Entire home/apt,100,2,64,2018-06-18,0.59,1,202
482102,Beautiful city house full comfort,2387430,Frederic,Le Bouscat,Le Bouscat,44.8542,-0.59581,Entire home/apt,215,2,298,2019-06-19,2.75,1,291
500193,Bordeaux centre T3 60m2 avec jardin,2468244,Audrey,Bordeaux,Bordeaux Sud,44.83303,-0.56214,Entire home/apt,109,1,221,2017-04-02,2.06,2,315
545440,Loft with its private swimming pool,2680968,Jeanne,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.85655,-0.57755,Entire home/apt,250,2,57,2021-04-22,0.53,1,259
557526,"Bordeaux, jardin, piscine, tennis !",2741181,Armelle Et Bruno,Talence,Talence,44.81058,-0.59837,Entire home/apt,79,3,8,2016-08-01,0.09,1,0
568013,Family house in bordeaux center,1842076,Grégory,Bordeaux,Bordeaux Sud,44.8334,-0.56834,Entire home/apt,90,4,20,2015-07-14,0.21,1,312
599263,Bordeaux centre historique,2964570,Vincent,Bordeaux,Centre ville (Bordeaux),44.83856,-0.5751,Entire home/apt,109,3,76,2019-08-11,1.32,1,236
648539,"Location au mois avec bail, Bordeaux centre",3253952,Paul +  Sarah,Bordeaux,Bordeaux Sud,44.83265,-0.56627,Entire home/apt,29,30,43,2014-03-22,0.41,1,37
656926,Comfortable private rooms in Artist's House,3309367,Alice,Bordeaux,Bordeaux Sud,44.8327,-0.56154,Private room,50,2,4,2018-09-13,0.12,2,0
667763,Charme au coeur du Vieux Bordeaux,3378979,Xavier,Bordeaux,Centre ville (Bordeaux),44.83745,-0.56935,Entire home/apt,89,30,155,2018-10-01,1.45,2,220
